level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	56	54	147	142	-1	
3	1	1	1	0	0	56	54	147	142	-1	
4	1	1	1	1	0	56	54	147	142	-1	
5	1	1	1	1	1	56	54	147	142	95.000000	 
2	1	2	0	0	0	98	263	326	58	-1	
3	1	2	1	0	0	98	263	326	58	-1	
4	1	2	1	1	0	98	263	326	58	-1	
5	1	2	1	1	1	98	263	326	58	96.390709	BECAUSE
2	1	3	0	0	0	91	346	473	185	-1	
3	1	3	1	0	0	91	346	473	185	-1	
4	1	3	1	1	0	91	346	403	58	-1	
5	1	3	1	1	1	91	346	199	58	96.807922	YOUR
5	1	3	1	1	2	340	346	153	58	96.483353	DOG
4	1	3	1	2	0	96	426	261	43	-1	
5	1	3	1	2	1	96	426	261	43	96.908943	DESERVES
4	1	3	1	3	0	96	480	468	51	-1	
5	1	3	1	3	1	96	488	304	43	92.983696	FEEL-GOOD
5	1	3	1	3	2	420	480	144	51	47.500633	SKIN®
2	1	4	0	0	0	91	573	23	23	-1	
3	1	4	1	0	0	91	573	23	23	-1	
4	1	4	1	1	0	91	573	23	23	-1	
5	1	4	1	1	1	91	573	23	23	61.861267	O
2	1	5	0	0	0	548	455	420	262	-1	
3	1	5	1	0	0	548	455	420	262	-1	
4	1	5	1	1	0	548	455	420	189	-1	
5	1	5	1	1	1	548	455	420	189	95.000000	   
4	1	5	1	2	0	587	644	381	73	-1	
5	1	5	1	2	1	587	644	381	73	95.000000	    
2	1	6	0	0	0	958	549	81	42	-1	
3	1	6	1	0	0	958	549	81	42	-1	
4	1	6	1	1	0	958	549	81	42	-1	
5	1	6	1	1	1	958	549	81	42	95.000000	 
2	1	7	0	0	0	112	582	454	4	-1	
3	1	7	1	0	0	112	582	454	4	-1	
4	1	7	1	1	0	112	582	454	4	-1	
5	1	7	1	1	1	112	582	454	4	95.000000	 
2	1	8	0	0	0	115	625	593	108	-1	
