level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	156	920	11	35	-1	
3	1	1	1	0	0	156	920	11	35	-1	
4	1	1	1	1	0	156	920	11	9	-1	
5	1	1	1	1	1	156	920	11	9	28.367796	al
4	1	1	1	2	0	156	933	11	9	-1	
5	1	1	1	2	1	156	933	11	9	48.346516	|
4	1	1	1	3	0	156	944	11	11	-1	
5	1	1	1	3	1	156	944	11	11	38.412117	°
2	1	2	0	0	0	155	969	13	125	-1	
3	1	2	1	0	0	155	969	13	125	-1	
4	1	2	1	1	0	155	969	13	125	-1	
5	1	2	1	1	1	155	969	13	125	36.362556	_AHIFLOWER*
2	1	3	0	0	0	60	1197	168	34	-1	
3	1	3	1	0	0	60	1197	168	34	-1	
4	1	3	1	1	0	60	1197	99	13	-1	
5	1	3	1	1	1	60	1197	46	13	77.350159	ShopID
5	1	3	1	1	2	114	1197	45	10	50.931477	-SHVCBS
4	1	3	1	2	0	60	1218	168	13	-1	
5	1	3	1	2	1	60	1218	30	13	88.376701	Shop
5	1	3	1	2	2	98	1218	22	10	95.150276	URL
5	1	3	1	2	3	129	1221	28	7	28.582001	www.
5	1	3	1	2	4	161	1218	67	13	28.582001	1ifeplus.
2	1	4	0	0	0	60	1245	612	51	-1	
3	1	4	1	0	0	60	1245	612	51	-1	
4	1	4	1	1	0	60	1245	612	15	-1	
5	1	4	1	1	1	60	1245	44	12	75.359665	‘These
5	1	4	1	1	2	114	1248	77	9	96.495239	statements
5	1	4	1	1	3	201	1247	31	10	91.610069	have
5	1	4	1	1	4	241	1248	22	9	91.610069	not
5	1	4	1	1	5	273	1247	31	10	94.632660	been
5	1	4	1	1	6	313	1247	70	10	96.837898	evaluated
5	1	4	1	1	7	393	1247	14	13	96.385490	by
5	1	4	1	1	8	417	1247	23	10	96.385490	the
5	1	4	1	1	9	449	1247	30	10	96.799637	Food
5	1	4	1	1	10	489	1247	22	10	95.379997	and
5	1	4	1	1	11	521	1247	30	13	95.379997	Drug
5	1	4	1	1	12	560	1247	112	10	96.446434	Administration
4	1	4	1	2	0	60	1265	607	13	-1	
5	1	4	1	2	1	60	1265	30	10	96.498413	This
5	1	4	1	2	2	100	1265	54	13	96.684494	product
5	1	4	1	2	3	165	1265	13	10	96.684494	is
5	1	4	1	2	4	188	1266	22	9	96.925293	not
5	1	4	1	2	5	220	1265	63	10	96.612595	intended
5	1	4	1	2	6	292	1266	15	9	95.519646	to
5	1	4	1	2	7	316	1265	68	13	95.147408	diagnose,
5	1	4	1	2	8	396	1266	44	10	96.809692	treat,
5	1	4	1	2	9	452	1268	31	7	96.958145	cure
5	1	4	1	2	10	492	1268	15	7	96.899651	or
5	1	4	1	2	11	516	1266	54	12	96.676689	prevent
5	1	4	1	2	12	580	1268	23	10	96.978302	any
5	1	4	1	2	13	612	1265	55	10	96.893509	disease
4	1	4	1	3	0	60	1283	391	13	-1	
5	1	4	1	3	1	60	1283	30	10	96.772919	This
5	1	4	1	3	2	100	1283	54	13	95.252731	product
5	1	4	1	3	3	165	1283	13	10	95.252731	is
5	1	4	1	3	4	189	1283	62	10	96.527390	intended
5	1	4	1	3	5	260	1283	23	10	96.977623	for
5	1	4	1	3	6	292	1283	23	10	96.982948	the
5	1	4	1	3	7	324	1283	28	10	94.167030	U.S.
5	1	4	1	3	8	364	1283	46	10	94.167030	market
5	1	4	1	3	9	420	1283	31	13	94.219261	only
2	1	5	0	0	0	0	73	1071	1121	-1	
3	1	5	1	0	0	0	73	1071	1121	-1	
4	1	5	1	1	0	0	73	1071	1121	-1	
5	1	5	1	1	1	0	73	1071	1121	95.000000	 
2	1	6	0	0	0	745	1224	284	75	-1	
3	1	6	1	0	0	745	1224	284	75	-1	
4	1	6	1	1	0	745	1224	284	75	-1	
5	1	6	1	1	1	745	1224	284	75	46.160732	4LIFEPIUS
