level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	108	344	702	71	-1	
3	1	1	1	0	0	108	344	702	71	-1	
4	1	1	1	1	0	110	344	653	32	-1	
5	1	1	1	1	1	110	348	114	22	95.787392	Because
5	1	1	1	1	2	234	347	39	22	90.647713	it’s
5	1	1	1	1	3	283	350	46	19	96.834923	not
5	1	1	1	1	4	335	347	55	29	93.280426	just
5	1	1	1	1	5	400	347	102	23	86.017616	oil—it’s
5	1	1	1	1	6	510	344	157	29	91.604950	Ahiflower®,
5	1	1	1	1	7	678	353	48	17	95.755219	one
5	1	1	1	1	8	736	347	27	22	95.755219	of
4	1	1	1	2	0	108	386	702	29	-1	
5	1	1	1	2	1	108	386	43	22	96.509537	the
5	1	1	1	2	2	161	386	88	22	96.599792	richest
5	1	1	1	2	3	259	386	154	29	96.502701	plant-based
5	1	1	1	2	4	424	392	101	16	96.380592	sources
5	1	1	1	2	5	535	386	27	22	96.448524	of
5	1	1	1	2	6	569	392	90	23	96.303932	omega
5	1	1	1	2	7	669	386	60	29	96.868103	fatty
5	1	1	1	2	8	738	386	72	22	96.785904	acids.
2	1	2	0	0	0	852	333	161	141	-1	
3	1	2	1	0	0	852	333	161	141	-1	
4	1	2	1	1	0	852	333	161	141	-1	
5	1	2	1	1	1	852	333	161	141	95.000000	 
2	1	3	0	0	0	108	464	716	146	-1	
3	1	3	1	0	0	108	464	716	146	-1	
4	1	3	1	1	0	108	464	677	29	-1	
5	1	3	1	1	1	108	464	76	23	95.400879	When
5	1	3	1	1	2	194	464	130	23	96.019829	combined
5	1	3	1	1	3	334	464	56	23	96.197769	with
5	1	3	1	1	4	401	470	125	23	96.789276	rosemary
5	1	3	1	1	5	535	467	89	20	96.641640	extract
5	1	3	1	1	6	634	464	47	23	96.641640	and
5	1	3	1	1	7	693	464	92	23	96.707466	natural
4	1	3	1	2	0	108	503	716	29	-1	
5	1	3	1	2	1	108	503	164	29	95.981003	tocopherols,
5	1	3	1	2	2	284	504	15	22	96.992134	it
5	1	3	1	2	3	309	503	118	23	95.659538	becomes
5	1	3	1	2	4	436	509	13	16	96.973320	a
5	1	3	1	2	5	460	503	121	26	93.255463	delicious,
5	1	3	1	2	6	592	503	172	29	92.217743	drool-worthy
5	1	3	1	2	7	772	509	52	23	96.450951	way
4	1	3	1	3	0	108	542	635	29	-1	
5	1	3	1	3	1	108	545	26	20	96.849945	to
5	1	3	1	3	2	144	545	104	26	96.707306	support
5	1	3	1	3	3	258	542	97	29	96.671875	healthy
5	1	3	1	3	4	364	542	50	22	96.866447	skin
5	1	3	1	3	5	425	542	47	23	93.235222	and
5	1	3	1	3	6	483	542	128	23	92.607201	shine—all
5	1	3	1	3	7	621	542	63	23	95.288162	from
5	1	3	1	3	8	694	548	49	17	95.288162	one
4	1	3	1	4	0	109	578	95	32	-1	
5	1	3	1	4	1	109	578	95	32	71.886955	spray®.
2	1	4	0	0	0	176	743	787	133	-1	
3	1	4	1	0	0	176	743	377	57	-1	
4	1	4	1	1	0	178	743	375	25	-1	
5	1	4	1	1	1	178	743	118	22	96.531685	POWERED
5	1	4	1	1	2	317	743	32	21	96.428146	BY
5	1	4	1	1	3	368	743	86	22	96.684792	OMEGA
5	1	4	1	1	4	474	743	27	25	96.712166	3,
5	1	4	1	1	5	526	743	27	25	96.712166	6,
4	1	4	1	2	0	176	776	288	24	-1	
5	1	4	1	2	1	176	779	51	21	96.668541	AND
5	1	4	1	2	2	246	776	218	24	6.502142	ANTIOXIDANTS?
3	1	4	2	0	0	177	804	786	72	-1	
4	1	4	2	1	0	844	804	118	44	-1	
5	1	4	2	1	1	844	804	118	44	0.000000	UFePLYs
4	1	4	2	2	0	177	845	786	31	-1	
5	1	4	2	2	1	177	850	96	26	96.650764	CLEAN,
5	1	4	2	2	2	298	851	98	25	96.650764	VEGAN,
5	1	4	2	2	3	420	851	51	21	96.746017	AND
5	1	4	2	2	4	491	851	84	22	96.746017	SUPER
5	1	4	2	2	5	596	851	66	21	96.516388	EASY
5	1	4	2	2	6	682	851	33	21	96.305573	TO
5	1	4	2	2	7	735	851	49	21	96.305573	USE
5	1	4	2	2	8	902	845	61	30	38.541470	Pets:
2	1	5	0	0	0	176	923	469	58	-1	
3	1	5	1	0	0	176	923	469	58	-1	
4	1	5	1	1	0	177	923	468	21	-1	
5	1	5	1	1	1	177	923	84	21	96.518410	HELPS
5	1	5	1	1	2	281	923	68	21	95.649010	YOUR
5	1	5	1	1	3	370	923	48	21	95.649010	PUP
5	1	5	1	1	4	438	923	68	21	96.597458	GLOW
5	1	5	1	1	5	525	923	120	21	96.620277	WITHOUT
4	1	5	1	2	0	176	955	235	26	-1	
5	1	5	1	2	1	176	959	103	22	92.929237	GREASY
5	1	5	1	2	2	299	955	112	26	54.372322	MESSES®
2	1	6	0	0	0	846	873	12	164	-1	
3	1	6	1	0	0	846	873	12	164	-1	
4	1	6	1	1	0	846	873	12	164	-1	
5	1	6	1	1	1	847	920	11	117	90.019600	AHIFLOWER®
5	1	6	1	1	2	846	873	11	34	88.110611	OIL
2	1	7	0	0	0	60	1193	194	30	-1	
3	1	7	1	0	0	60	1193	194	30	-1	
4	1	7	1	1	0	60	1193	99	13	-1	
5	1	7	1	1	1	60	1193	46	13	90.667168	ShopID
5	1	7	1	1	2	114	1193	45	10	77.963860	SHVCBS
4	1	7	1	2	0	60	1213	194	10	-1	
5	1	7	1	2	1	60	1213	21	10	94.692596	Shop
5	1	7	1	2	2	87	1214	16	7	93.164787	URL
5	1	7	1	2	3	109	1213	145	10	47.379654	w.1ifeplus.com/SHVCBS/S/
2	1	8	0	0	0	60	1245	945	51	-1	
3	1	8	1	0	0	60	1245	945	51	-1	
4	1	8	1	1	0	61	1245	611	16	-1	
5	1	8	1	1	1	61	1245	43	12	72.181068	‘These
5	1	8	1	1	2	114	1248	77	9	95.798622	statements
5	1	8	1	1	3	201	1247	31	10	96.981712	have
5	1	8	1	1	4	241	1248	22	10	96.781639	not
5	1	8	1	1	5	273	1247	31	10	96.590553	been
5	1	8	1	1	6	313	1247	71	11	96.378242	evaluated
5	1	8	1	1	7	393	1247	14	14	97.012985	by
5	1	8	1	1	8	417	1247	23	11	96.943558	the
5	1	8	1	1	9	449	1247	31	11	92.730827	Food
5	1	8	1	1	10	489	1247	23	11	96.265068	and
5	1	8	1	1	11	521	1247	31	14	96.900993	Drug
5	1	8	1	1	12	560	1247	112	11	76.179855	Administration,
4	1	8	1	2	0	60	1252	945	34	-1	
5	1	8	1	2	1	60	1265	30	10	93.935707	This
5	1	8	1	2	2	100	1265	55	13	95.157448	product
5	1	8	1	2	3	164	1265	14	10	94.102867	is
5	1	8	1	2	4	188	1266	23	10	94.984886	not
5	1	8	1	2	5	220	1265	63	10	96.967026	intended
5	1	8	1	2	6	292	1266	15	10	96.943756	to
5	1	8	1	2	7	316	1265	68	14	93.891869	diagnose,
5	1	8	1	2	8	396	1266	44	11	96.180954	treat,
5	1	8	1	2	9	452	1267	31	8	81.308670	cure
5	1	8	1	2	10	492	1268	15	8	96.724907	or
5	1	8	1	2	11	516	1266	55	12	96.836205	prevent
5	1	8	1	2	12	580	1268	23	10	96.615135	any
5	1	8	1	2	13	612	1265	60	11	95.574577	disease.
5	1	8	1	2	14	821	1252	6	32	84.488022	|
5	1	8	1	2	15	967	1252	38	34	92.509880	U
4	1	8	1	3	0	60	1283	396	13	-1	
5	1	8	1	3	1	60	1283	30	11	96.257492	This
5	1	8	1	3	2	100	1283	55	13	96.257492	product
5	1	8	1	3	3	164	1285	14	9	96.327065	is
5	1	8	1	3	4	188	1283	63	11	96.889618	intended
5	1	8	1	3	5	260	1283	23	11	96.968513	for
5	1	8	1	3	6	293	1283	22	11	97.003876	the
5	1	8	1	3	7	324	1283	23	11	60.802418	U.S.
5	1	8	1	3	8	364	1283	47	11	96.561882	market
5	1	8	1	3	9	420	1283	36	13	91.325653	only.
2	1	9	0	0	0	0	670	1080	680	-1	
3	1	9	1	0	0	0	670	1080	680	-1	
4	1	9	1	1	0	0	670	1080	680	-1	
5	1	9	1	1	1	0	670	1080	680	95.000000	 
