level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	81	91	417	38	-1	
3	1	1	1	0	0	81	91	417	38	-1	
4	1	1	1	1	0	81	91	417	38	-1	
5	1	1	1	1	1	81	91	58	38	93.289436	piel
5	1	1	1	1	2	154	91	137	30	91.371765	brillante
5	1	1	1	1	3	305	91	193	38	92.884125	potenciada
2	1	2	0	0	0	87	194	511	31	-1	
3	1	2	1	0	0	87	194	511	31	-1	
4	1	2	1	1	0	87	194	511	31	-1	
5	1	2	1	1	1	87	194	82	31	93.211235	POR
5	1	2	1	1	2	182	194	173	31	92.231987	OMEGAS
5	1	2	1	1	3	371	194	227	31	44.776554	POTENTES?
2	1	3	0	0	0	112	345	825	25	-1	
3	1	3	1	0	0	112	345	825	25	-1	
4	1	3	1	1	0	112	345	825	25	-1	
5	1	3	1	1	1	112	345	65	18	30.109135	LENT
5	1	3	1	1	2	185	350	16	10	51.898540	Mee
5	1	3	1	1	3	203	346	29	24	23.583956	eek
5	1	3	1	1	4	483	345	62	13	89.018326	olvidate
5	1	3	1	1	5	551	345	19	13	96.978668	de
5	1	3	1	1	6	577	345	22	14	93.306198	los
5	1	3	1	1	7	604	346	57	13	93.237160	aceites
5	1	3	1	1	8	666	345	19	13	96.861115	de
5	1	3	1	1	9	692	345	67	17	93.275742	pescado
5	1	3	1	1	10	764	345	79	14	92.567581	aburridos:
5	1	3	1	1	11	849	346	34	13	96.920189	esta
5	1	3	1	1	12	889	345	48	17	96.209808	planta
2	1	4	0	0	0	91	390	25	18	-1	
3	1	4	1	0	0	91	390	25	18	-1	
4	1	4	1	1	0	91	390	25	18	-1	
5	1	4	1	1	1	91	390	25	18	64.213593	{=
2	1	5	0	0	0	87	370	164	123	-1	
3	1	5	1	0	0	87	370	164	123	-1	
4	1	5	1	1	0	141	370	110	32	-1	
5	1	5	1	1	1	141	370	110	32	95.000000	    
4	1	5	1	2	0	87	402	164	91	-1	
5	1	5	1	2	1	87	402	164	91	95.000000	  
2	1	6	0	0	0	483	380	277	17	-1	
3	1	6	1	0	0	483	380	277	17	-1	
4	1	6	1	1	0	483	380	277	17	-1	
5	1	6	1	1	1	483	381	17	15	92.894615	El
5	1	6	1	1	2	508	380	52	17	92.894615	héroe
5	1	6	1	1	3	566	380	40	17	93.306229	esta
5	1	6	1	1	4	613	380	75	17	92.832611	robando
5	1	6	1	1	5	694	381	16	16	92.766182	el
5	1	6	1	1	6	716	380	44	17	92.766182	foco.
2	1	7	0	0	0	482	448	462	128	-1	
3	1	7	1	0	0	483	448	461	93	-1	
4	1	7	1	1	0	483	448	431	23	-1	
5	1	7	1	1	1	483	448	62	19	93.264091	aceite
5	1	7	1	1	2	553	448	113	19	91.742203	ahiflower®
5	1	7	1	1	3	674	449	80	22	92.817261	entrega
5	1	7	1	1	4	762	448	29	19	93.277496	las
5	1	7	1	1	5	798	453	85	18	92.582336	omegas
5	1	7	1	1	6	891	453	23	14	96.608696	su
4	1	7	1	2	0	483	485	461	21	-1	
5	1	7	1	2	1	483	489	47	17	96.963242	perro
5	1	7	1	2	2	538	486	77	16	96.482346	necesita
5	1	7	1	2	3	622	487	88	15	96.765846	mantener
5	1	7	1	2	4	716	489	20	13	93.257477	su
5	1	7	1	2	5	744	485	57	21	92.252647	abrigo
5	1	7	1	2	6	808	485	78	17	91.838348	brillando
5	1	7	1	2	7	893	489	51	13	96.116447	como
4	1	7	1	3	0	483	519	432	22	-1	
5	1	7	1	3	1	483	523	23	13	92.967705	un
5	1	7	1	3	2	514	519	122	22	90.508636	espectaculo
5	1	7	1	3	3	644	519	65	22	93.194458	pulido.
5	1	7	1	3	4	718	523	23	14	93.291122	es
5	1	7	1	3	5	748	519	86	20	93.235100	sabroso,
5	1	7	1	3	6	842	519	40	18	96.907135	facil
5	1	7	1	3	7	890	519	25	18	95.996101	de
3	1	7	2	0	0	482	555	325	21	-1	
4	1	7	2	1	0	482	555	325	21	-1	
5	1	7	2	1	1	482	560	10	16	92.401619	y
5	1	7	2	1	2	499	555	50	17	92.648323	huele
5	1	7	2	1	3	557	555	61	17	96.933342	mucho
5	1	7	2	1	4	625	556	52	20	95.596786	mejor
5	1	7	2	1	5	683	559	34	17	93.289787	que
5	1	7	2	1	6	724	555	83	17	92.725929	sardinas.
2	1	8	0	0	0	433	643	469	12	-1	
3	1	8	1	0	0	433	643	469	12	-1	
4	1	8	1	1	0	433	643	469	12	-1	
5	1	8	1	1	1	433	643	469	12	95.000000	 
2	1	9	0	0	0	482	725	113	13	-1	
3	1	9	1	0	0	482	725	113	13	-1	
4	1	9	1	1	0	482	725	113	13	-1	
5	1	9	1	1	1	482	725	46	12	84.289932	afiade
5	1	9	1	1	2	534	725	35	12	89.016098	brillo
5	1	9	1	1	3	575	725	20	13	96.928581	sin
2	1	10	0	0	0	482	759	256	21	-1	
3	1	10	1	0	0	482	759	256	21	-1	
4	1	10	1	1	0	482	759	256	21	-1	
5	1	10	1	1	1	482	759	80	17	93.118942	desastre
5	1	10	1	1	2	568	763	11	13	48.988766	0
5	1	10	1	1	3	586	760	57	16	90.998596	olores
5	1	10	1	1	4	649	759	89	21	91.107941	pescados
2	1	11	0	0	0	444	797	448	12	-1	
3	1	11	1	0	0	444	797	448	12	-1	
4	1	11	1	1	0	444	797	448	12	-1	
5	1	11	1	1	1	444	797	448	12	95.000000	 
2	1	12	0	0	0	483	860	194	50	-1	
3	1	12	1	0	0	483	860	194	50	-1	
4	1	12	1	1	0	483	860	194	21	-1	
5	1	12	1	1	1	483	861	83	20	91.783447	soportes
5	1	12	1	1	2	573	860	104	17	93.050163	saludables
4	1	12	1	2	0	484	894	137	16	-1	
5	1	12	1	2	1	484	895	52	11	93.004417	textura
5	1	12	1	2	2	541	894	18	12	96.906151	de
5	1	12	1	2	3	565	894	12	12	92.418716	la
5	1	12	1	2	4	583	894	24	16	92.418716	piel
5	1	12	1	2	5	613	897	8	13	91.711349	y
2	1	13	0	0	0	483	926	173	17	-1	
3	1	13	1	0	0	483	926	173	17	-1	
4	1	13	1	1	0	483	926	173	17	-1	
5	1	13	1	1	1	483	926	71	14	90.078415	suavidad
5	1	13	1	1	2	560	926	19	13	96.504318	de
5	1	13	1	1	3	586	926	13	13	93.078827	la
5	1	13	1	1	4	604	926	52	17	90.574577	capa®
2	1	14	0	0	0	446	969	414	10	-1	
3	1	14	1	0	0	446	969	414	10	-1	
4	1	14	1	1	0	446	969	414	10	-1	
5	1	14	1	1	1	446	969	414	10	95.000000	 
2	1	15	0	0	0	483	1029	237	53	-1	
3	1	15	1	0	0	483	1029	237	53	-1	
4	1	15	1	1	0	483	1029	237	21	-1	
5	1	15	1	1	1	483	1033	22	12	93.213669	un
5	1	15	1	1	2	514	1029	102	21	92.172112	resplandor
5	1	15	1	1	3	623	1033	43	17	95.753761	para
5	1	15	1	1	4	673	1029	47	17	95.753761	cada
4	1	15	1	2	0	484	1063	132	19	-1	
5	1	15	1	2	1	484	1067	44	15	93.786850	raza,
5	1	15	1	2	2	536	1063	45	17	96.766846	cada
