level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	670	172	30	36	-1	
3	1	1	1	0	0	670	172	30	36	-1	
4	1	1	1	1	0	670	172	30	36	-1	
5	1	1	1	1	1	670	172	30	36	95.000000	 
2	1	2	0	0	0	106	167	563	49	-1	
3	1	2	1	0	0	106	167	563	49	-1	
4	1	2	1	1	0	106	167	563	49	-1	
5	1	2	1	1	1	106	172	163	44	91.245247	Lifeplus
5	1	2	1	1	2	278	176	134	32	91.245247	Pets™
5	1	2	1	1	3	421	167	248	49	8.632746	Ahiflower’O
2	1	3	0	0	0	670	573	195	24	-1	
3	1	3	1	0	0	670	573	195	24	-1	
4	1	3	1	1	0	670	573	195	24	-1	
5	1	3	1	1	1	670	573	145	24	92.627777	Tocopherols
5	1	3	1	1	2	823	573	42	18	97.002586	and
2	1	4	0	0	0	496	513	469	132	-1	
3	1	4	1	0	0	496	513	469	132	-1	
4	1	4	1	1	0	496	513	90	8	-1	
5	1	4	1	1	1	496	513	5	8	42.177948	x
5	1	4	1	1	2	580	513	6	8	0.000000	:
4	1	4	1	2	0	671	602	205	22	-1	
5	1	4	1	2	1	671	605	113	19	96.484497	rosemary
5	1	4	1	2	2	791	602	85	16	96.824799	extract
4	1	4	1	3	0	671	624	294	21	-1	
5	1	4	1	3	1	671	627	52	18	96.869370	offer
5	1	4	1	3	2	731	627	127	18	93.300278	antioxidant
5	1	4	1	3	3	866	624	99	21	29.018612	defense®
2	1	5	0	0	0	141	718	195	24	-1	
3	1	5	1	0	0	141	718	195	24	-1	
4	1	5	1	1	0	141	718	195	24	-1	
5	1	5	1	1	1	141	718	106	18	96.426208	Balanced
5	1	5	1	1	2	256	723	80	19	96.615128	omega
2	1	6	0	0	0	141	726	469	51	-1	
3	1	6	1	0	0	141	726	469	51	-1	
4	1	6	1	1	0	141	726	469	51	-1	
5	1	6	1	1	1	141	745	76	24	96.141945	profile
5	1	6	1	1	2	226	747	98	22	96.141945	supports
5	1	6	1	1	3	468	726	142	51	23.698288	UFEpLYy
2	1	7	0	0	0	141	769	239	27	-1	
3	1	7	1	0	0	141	769	239	27	-1	
4	1	7	1	1	0	141	769	239	27	-1	
5	1	7	1	1	1	141	772	111	24	92.923836	epidermal
5	1	7	1	1	2	262	769	118	27	88.476852	hydration®
2	1	8	0	0	0	505	767	111	220	-1	
3	1	8	1	0	0	505	767	111	220	-1	
4	1	8	1	1	0	505	767	111	220	-1	
