level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	110	220	406	27	-1	
3	1	1	1	0	0	110	220	406	27	-1	
4	1	1	1	1	0	110	220	406	27	-1	
5	1	1	1	1	1	110	220	73	22	96.240730	aceite
5	1	1	1	1	2	191	220	31	22	93.253983	de
5	1	1	1	1	3	231	220	75	22	91.345062	ahiflor
5	1	1	1	1	4	314	220	51	22	96.405472	vida
5	1	1	1	1	5	375	220	50	22	93.291901	mas
5	1	1	1	1	6	435	222	81	25	91.013626	petstm
2	1	2	0	0	0	112	284	548	106	-1	
3	1	2	1	0	0	112	284	548	106	-1	
4	1	2	1	1	0	113	284	464	22	-1	
5	1	2	1	1	1	113	284	57	18	56.903118	reine
5	1	2	1	1	2	177	288	81	18	91.852386	omegas
5	1	2	1	1	3	266	284	110	18	92.048691	avanzadas
5	1	2	1	1	4	383	284	25	18	92.687233	de
5	1	2	1	1	5	415	284	63	22	91.713905	origen
5	1	2	1	1	6	485	284	73	22	93.279518	vegetal
5	1	2	1	1	7	566	288	11	18	93.234528	y
4	1	2	1	2	0	112	326	528	22	-1	
5	1	2	1	2	1	112	327	123	21	93.005318	compuestos
5	1	2	1	2	2	243	326	134	18	90.908974	antioxidantes
5	1	2	1	2	3	385	330	45	18	93.044632	para
5	1	2	1	2	4	437	330	70	18	92.489792	apoyar
5	1	2	1	2	5	514	326	17	18	96.132973	la
5	1	2	1	2	6	538	327	102	17	96.196014	estructura
4	1	2	1	3	0	113	367	547	23	-1	
5	1	2	1	3	1	113	367	55	19	96.439690	salud
5	1	2	1	3	2	176	367	26	19	96.439690	de
5	1	2	1	3	3	210	367	18	19	95.170868	la
5	1	2	1	3	4	236	367	35	23	93.306168	piel
5	1	2	1	3	5	279	372	11	18	93.246803	y
5	1	2	1	3	6	298	367	17	19	93.292313	el
5	1	2	1	3	7	323	367	71	23	93.059906	abrigo.
5	1	2	1	3	8	403	372	23	14	96.074203	su
5	1	2	1	3	9	436	367	50	23	93.305847	perfil
