level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1350	-1	
2	1	1	0	0	0	0	55	1080	327	-1	
3	1	1	1	0	0	0	55	1080	327	-1	
4	1	1	1	1	0	0	55	1080	327	-1	
5	1	1	1	1	1	0	55	1080	327	95.000000	   
2	1	2	0	0	0	248	295	587	198	-1	
3	1	2	1	0	0	248	295	587	198	-1	
4	1	2	1	1	0	250	295	585	58	-1	
5	1	2	1	1	1	250	301	115	42	96.602890	How
5	1	2	1	1	2	383	298	124	45	93.278381	does
5	1	2	1	1	3	530	295	305	58	90.985542	Ahiflower®
4	1	2	1	2	0	248	366	564	58	-1	
5	1	2	1	2	1	248	372	208	52	81.626900	support
5	1	2	1	2	2	474	366	101	45	96.435585	skin
5	1	2	1	2	3	595	366	217	45	96.589767	function
4	1	2	1	3	0	249	435	225	58	-1	
5	1	2	1	3	1	249	435	47	44	95.828690	in
5	1	2	1	3	2	317	435	157	58	95.828690	dogs?
2	1	3	0	0	0	247	517	585	166	-1	
3	1	3	1	0	0	248	517	550	48	-1	
4	1	3	1	1	0	248	517	550	48	-1	
5	1	3	1	1	1	248	517	208	48	91.029610	Ahiflower®
5	1	3	1	1	2	470	537	87	17	93.276260	contains
5	1	3	1	1	3	565	537	116	17	92.773003	stearidonic
5	1	3	1	1	4	689	537	41	17	96.947960	acid
5	1	3	1	1	5	738	538	60	20	96.900772	(SDA),
3	1	3	2	0	0	247	568	585	115	-1	
4	1	3	2	1	0	247	568	571	23	-1	
5	1	3	2	1	1	247	573	9	12	93.249763	a
5	1	3	2	1	2	266	573	101	17	93.249763	precursor
5	1	3	2	1	3	375	570	19	15	96.203705	to
5	1	3	2	1	4	403	569	42	19	96.203705	EPA,
5	1	3	2	1	5	454	568	60	17	96.313652	which
5	1	3	2	1	6	522	570	93	21	93.300270	supports
5	1	3	2	1	7	623	569	92	22	92.280365	omega-3
5	1	3	2	1	8	723	568	47	22	96.879875	fatty
5	1	3	2	1	9	778	568	40	17	96.442574	acid
4	1	3	2	2	0	247	596	585	26	-1	
5	1	3	2	2	1	247	599	99	23	96.513222	pathways
5	1	3	2	2	2	355	600	16	16	92.804634	in
5	1	3	2	2	3	380	596	69	25	85.740738	dogs®.
5	1	3	2	2	4	457	599	47	17	96.606628	With
5	1	3	2	2	5	513	604	9	12	96.949577	a
5	1	3	2	2	6	532	599	93	17	96.940727	balanced
5	1	3	2	2	7	634	604	71	18	96.538368	omega
5	1	3	2	2	8	707	592	12	34	96.532806	3
5	1	3	2	2	9	733	601	19	15	96.532806	to
5	1	3	2	2	10	755	592	10	34	96.280655	6
5	1	3	2	2	11	780	601	52	18	96.280655	ratio,
4	1	3	2	3	0	247	630	545	22	-1	
5	1	3	2	3	1	247	630	42	22	96.922951	plus
5	1	3	2	3	2	297	630	129	17	96.867249	antioxidants
5	1	3	2	3	3	434	632	20	15	96.530052	to
5	1	3	2	3	4	462	630	79	17	96.470619	combat
5	1	3	2	3	5	549	630	93	17	96.637077	oxidative
5	1	3	2	3	6	651	632	65	18	96.616997	stress,
5	1	3	2	3	7	724	630	37	17	95.146370	this
5	1	3	2	3	8	770	630	22	17	95.146370	oil
4	1	3	2	4	0	247	658	502	25	-1	
5	1	3	2	4	1	247	663	92	20	95.406410	supports
5	1	3	2	4	2	347	661	76	17	96.073067	cellular
5	1	3	2	4	3	430	661	86	17	96.073067	function
5	1	3	2	4	4	525	662	16	16	96.766502	in
5	1	3	2	4	5	550	661	33	17	96.930214	the
5	1	3	2	4	6	591	661	40	17	96.649780	skin
5	1	3	2	4	7	640	661	38	17	91.792801	and
5	1	3	2	4	8	687	658	62	20	68.330421	coat®.
2	1	4	0	0	0	0	382	1080	792	-1	
3	1	4	1	0	0	0	382	1080	792	-1	
4	1	4	1	1	0	0	382	1080	140	-1	
5	1	4	1	1	1	0	382	194	140	95.000000	  
5	1	4	1	1	2	842	382	238	140	95.000000	  
4	1	4	1	2	0	0	522	1080	80	-1	
5	1	4	1	2	1	0	522	194	80	95.000000	  
5	1	4	1	2	2	842	522	238	80	95.000000	  
4	1	4	1	3	0	0	602	1080	33	-1	
5	1	4	1	3	1	0	602	194	33	95.000000	 
5	1	4	1	3	2	842	602	238	33	95.000000	 
4	1	4	1	4	0	0	635	1080	60	-1	
5	1	4	1	4	1	0	635	194	60	95.000000	  
5	1	4	1	4	2	842	635	238	60	95.000000	  
4	1	4	1	5	0	0	695	1080	45	-1	
5	1	4	1	5	1	0	695	1080	45	95.000000	 
4	1	4	1	6	0	0	740	1080	41	-1	
5	1	4	1	6	1	0	740	194	41	95.000000	  
5	1	4	1	6	2	674	740	406	41	95.000000	  
4	1	4	1	7	0	0	781	1080	64	-1	
5	1	4	1	7	1	0	781	1080	64	95.000000	   
4	1	4	1	8	0	674	845	406	49	-1	
5	1	4	1	8	1	674	845	406	49	95.000000	 
4	1	4	1	9	0	0	845	1080	105	-1	
5	1	4	1	9	1	0	845	1080	105	95.000000	    
4	1	4	1	10	0	674	950	406	49	-1	
5	1	4	1	10	1	674	950	406	49	95.000000	 
4	1	4	1	11	0	0	950	1080	76	-1	
5	1	4	1	11	1	0	950	194	76	95.000000	  
5	1	4	1	11	2	674	999	406	27	95.000000	 
4	1	4	1	12	0	0	1026	1080	40	-1	
5	1	4	1	12	1	0	1026	1080	40	95.000000	 
4	1	4	1	13	0	678	1066	328	46	-1	
5	1	4	1	13	1	678	1066	328	46	95.000000	  
4	1	4	1	14	0	678	1112	328	62	-1	
5	1	4	1	14	1	678	1112	328	62	95.000000	  
2	1	5	0	0	0	248	749	359	63	-1	
3	1	5	1	0	0	248	749	359	63	-1	
4	1	5	1	1	0	248	749	354	23	-1	
5	1	5	1	1	1	248	749	19	19	75.793488	+
5	1	5	1	1	2	283	745	15	36	19.185419	—
5	1	5	1	1	3	312	753	44	18	88.169838	SDA
5	1	5	1	1	4	364	755	94	17	88.169838	converts
5	1	5	1	1	5	466	755	21	16	96.935059	to
5	1	5	1	1	6	497	753	40	18	96.727478	EPA
5	1	5	1	1	7	545	758	57	13	96.953354	more
4	1	5	1	2	0	312	785	295	27	-1	
5	1	5	1	2	1	312	788	108	24	96.653015	efficiently
5	1	5	1	2	2	427	788	49	19	96.946976	than
5	1	5	1	2	3	484	788	44	18	93.284470	ALA
5	1	5	1	2	4	535	785	72	21	88.533485	alone®
2	1	6	0	0	0	311	857	360	55	-1	
3	1	6	1	0	0	311	857	360	55	-1	
4	1	6	1	1	0	311	857	360	25	-1	
5	1	6	1	1	1	311	857	136	25	91.865250	Tocopherols
5	1	6	1	1	2	456	858	46	24	95.700905	help
5	1	6	1	1	3	511	858	109	19	96.401978	neutralize
5	1	6	1	1	4	628	858	43	19	96.997246	free
4	1	6	1	2	0	313	890	296	22	-1	
5	1	6	1	2	1	313	893	83	19	97.001411	radicals
5	1	6	1	2	2	405	898	26	13	84.853508	on
5	1	6	1	2	3	440	898	11	13	84.853508	a
5	1	6	1	2	4	460	893	80	19	93.257141	cellular
5	1	6	1	2	5	549	890	60	21	86.500572	level®
2	1	7	0	0	0	247	962	369	57	-1	
3	1	7	1	0	0	247	962	369	57	-1	
4	1	7	1	1	0	312	962	304	25	-1	
5	1	7	1	1	1	312	964	100	23	95.769630	Supports
5	1	7	1	1	2	420	962	43	20	97.009842	skin
5	1	7	1	1	3	472	962	97	25	96.729210	elasticity
5	1	7	1	1	4	576	962	40	19	96.793854	and
4	1	7	1	2	0	247	995	270	24	-1	
5	1	7	1	2	1	247	1000	20	19	89.848145	+
5	1	7	1	2	2	313	998	98	18	82.665535	moisture
5	1	7	1	2	3	420	995	97	21	89.896751	balance®
2	1	8	0	0	0	27	1091	926	51	-1	
3	1	8	1	0	0	27	1091	926	51	-1	
4	1	8	1	1	0	27	1091	926	48	-1	
5	1	8	1	1	1	27	1099	34	26	27.780033	4
5	1	8	1	1	2	185	1119	59	11	0.000000	—~
5	1	8	1	1	3	360	1094	54	45	47.792877	wer
5	1	8	1	1	4	516	1107	7	13	0.000000	<
5	1	8	1	1	5	902	1091	51	35	0.000000	i
4	1	8	1	2	0	46	1120	630	22	-1	
5	1	8	1	2	1	46	1127	5	9	0.000000	é
5	1	8	1	2	2	200	1137	5	3	27.479015	.
5	1	8	1	2	3	300	1121	24	18	25.379686	-
5	1	8	1	2	4	376	1126	2	2	18.160448	©
5	1	8	1	2	5	468	1129	12	13	0.000000	:
5	1	8	1	2	6	662	1120	14	10	0.000000	0
2	1	9	0	0	0	59	1193	499	30	-1	
3	1	9	1	0	0	59	1193	499	30	-1	
4	1	9	1	1	0	60	1193	99	13	-1	
5	1	9	1	1	1	60	1193	46	13	87.586372	ShopID
5	1	9	1	1	2	114	1193	45	11	91.218269	SHVCBS
4	1	9	1	2	0	59	1205	499	18	-1	
5	1	9	1	2	1	59	1213	22	10	87.516479	‘Shop
5	1	9	1	2	2	87	1214	16	7	90.515114	URL
5	1	9	1	2	3	109	1213	149	10	0.000000	wow.1ifeplus.com/SHVCBS/S/.
5	1	9	1	2	4	544	1205	14	13	43.541595	a
2	1	10	0	0	0	60	1213	945	83	-1	
3	1	10	1	0	0	60	1213	788	49	-1	
4	1	10	1	1	0	831	1213	17	8	-1	
5	1	10	1	1	1	831	1213	17	8	84.088440	*
4	1	10	1	2	0	60	1239	761	23	-1	
5	1	10	1	2	1	60	1245	44	13	54.334114	“These
5	1	10	1	2	2	113	1248	78	10	95.482262	statements
5	1	10	1	2	3	201	1247	31	11	96.945854	have
5	1	10	1	2	4	241	1248	22	9	96.725128	not
5	1	10	1	2	5	273	1247	31	10	96.533920	been
5	1	10	1	2	6	313	1247	71	11	96.947403	evaluated
5	1	10	1	2	7	393	1246	15	16	96.907562	by
5	1	10	1	2	8	417	1246	23	12	96.907562	the
5	1	10	1	2	9	449	1246	31	12	96.924049	Food
5	1	10	1	2	10	488	1243	24	17	96.940903	and
5	1	10	1	2	11	521	1247	31	14	96.934174	Drug
5	1	10	1	2	12	560	1239	117	19	96.125504	Administration.
5	1	10	1	2	13	819	1248	2	2	56.376404	4
3	1	10	2	0	0	60	1251	945	45	-1	
4	1	10	2	1	0	60	1251	945	35	-1	
5	1	10	2	1	1	60	1265	30	11	96.791862	This
5	1	10	2	1	2	100	1265	55	13	96.974869	product
5	1	10	2	1	3	164	1265	14	10	96.995293	is
5	1	10	2	1	4	188	1265	24	11	96.932434	not
5	1	10	2	1	5	220	1265	63	10	96.962814	intended
5	1	10	2	1	6	292	1266	15	11	96.995682	to
5	1	10	2	1	7	316	1265	69	14	96.913864	diagnose,
5	1	10	2	1	8	395	1266	47	11	96.377647	treat,
5	1	10	2	1	9	448	1267	39	13	96.152939	cure
5	1	10	2	1	10	492	1267	15	9	96.152939	or
5	1	10	2	1	11	516	1265	55	13	96.694733	prevent
5	1	10	2	1	12	580	1267	23	11	96.830276	any
5	1	10	2	1	13	612	1264	55	11	96.688461	disease
5	1	10	2	1	14	821	1251	6	34	86.370369	|
5	1	10	2	1	15	967	1252	38	34	91.460442	U
4	1	10	2	2	0	60	1283	396	13	-1	
5	1	10	2	2	1	60	1283	30	11	95.817581	This
5	1	10	2	2	2	100	1283	55	13	95.817581	product
5	1	10	2	2	3	164	1283	14	11	95.974754	is
